# WavelengthLower, WavelengthUpper, Wavelength, TransitDepth, TransitError
1.557344886311331944e+00 1.573280195448577334e+00 1.565312540879954639e+00 1.416458211955062325e+04 7.961998871406353828e+01
1.573868715388305084e+00 1.590981064405005974e+00 1.582424889896655529e+00 1.408536204405663011e+04 7.820325471917924176e+01
1.590981064405005974e+00 1.608093413421706863e+00 1.599537238913356418e+00 1.407393769133227579e+04 7.928887225320400489e+01
1.609213864845419284e+00 1.628567116709545015e+00 1.618890490777482150e+00 1.412119831399247050e+04 7.605244187611101836e+01
1.627141087624820015e+00 1.643642281319495746e+00 1.635391684472157880e+00 1.411509941879535290e+04 8.361928251649938204e+01
1.643540422099158294e+00 1.659837897353159120e+00 1.651689159726158707e+00 1.391538480820664336e+04 8.546037845054719639e+01
1.660652771115859183e+00 1.678579993895260136e+00 1.669616382505559660e+00 1.398905926312147494e+04 8.259876575426494583e+01
1.678987430776610168e+00 1.697729527318711185e+00 1.688358479047660676e+00 1.394237138896097895e+04 8.231052749559650294e+01
1.697729527318711185e+00 1.716471623860812201e+00 1.707100575589761693e+00 1.388623543650831562e+04 8.354092859810528182e+01
1.716064186979461947e+00 1.733991409758862456e+00 1.725027798369162202e+00 1.412066548695034362e+04 8.681084863319352962e+01
1.734398846640212710e+00 1.753140943182313727e+00 1.743769894911263219e+00 1.419541998498427347e+04 8.647814780934878343e+01
1.753140943182313727e+00 1.771883039724414743e+00 1.762511991453364235e+00 1.409250452293869239e+04 8.774081225545086227e+01
1.771883039724414743e+00 1.790625136266515760e+00 1.781254087995465252e+00 1.398864425306389239e+04 8.936784801933661981e+01
1.790625136266515538e+00 1.809367232808616111e+00 1.799996184537565824e+00 1.407374554903241369e+04 9.083031998173909471e+01
1.810182106571316396e+00 1.830553950638817540e+00 1.820368028605066968e+00 1.400204877499678332e+04 8.861947253676805758e+01
1.829739076876117476e+00 1.848481173418218493e+00 1.839110125147167984e+00 1.437280465269625529e+04 9.392787310694703251e+01
