wave,wave_error,dppm,dppm_err,order
0.68159, 0.00020, 14417.90, 576.80, 2
0.68199, 0.00020, 14659.50, 546.60, 2
0.68249, 0.00025, 14665.20, 546.30, 2
0.68289, 0.00020, 14947.70, 521.90, 2
0.68329, 0.00020, 14741.50, 534.10, 2
0.68379, 0.00025, 14688.10, 629.10, 2
0.68419, 0.00020, 14795.10, 973.50, 2
0.68459, 0.00020, 14261.90, 498.60, 2
0.68509, 0.00025, 13806.90, 483.50, 2
0.68549, 0.00020, 14961.40, 518.50, 2
0.68589, 0.00020, 15030.90, 530.80, 2
0.68639, 0.00025, 14869.50, 613.80, 2
0.68679, 0.00020, 14508.70, 498.50, 2
0.68719, 0.00020, 14501.80, 489.80, 2
0.68769, 0.00025, 15099.00, 512.80, 2
0.68809, 0.00020, 14005.50, 605.70, 2
0.68859, 0.00025, 15045.40, 479.90, 2
0.68899, 0.00020, 14782.00, 447.70, 2
0.68939, 0.00020, 14464.60, 433.80, 2
0.68989, 0.00025, 14420.30, 477.00, 2
0.69029, 0.00020, 14817.60, 487.00, 2
0.69069, 0.00020, 14780.10, 528.40, 2
0.69119, 0.00025, 14476.40, 555.90, 2
0.69159, 0.00020, 14913.50, 633.70, 2
0.69199, 0.00020, 14015.70, 484.60, 2
0.69249, 0.00025, 14590.70, 546.80, 2
0.69289, 0.00020, 14311.90, 533.70, 2
0.69329, 0.00020, 15020.90, 510.50, 2
0.69379, 0.00025, 13887.00, 461.60, 2
0.69419, 0.00020, 13903.80, 447.00, 2
0.69469, 0.00025, 14408.80, 524.30, 2
0.69509, 0.00020, 14473.50, 543.20, 2
0.69549, 0.00020, 14465.80, 503.10, 2
0.69599, 0.00025, 14394.80, 662.50, 2
0.69639, 0.00020, 14082.80, 563.20, 2
0.69679, 0.00020, 13868.10, 497.00, 2
0.69729, 0.00025, 15044.70, 533.90, 2
0.69769, 0.00020, 14379.90, 530.60, 2
0.69819, 0.00025, 14448.70, 696.20, 2
0.69859, 0.00020, 14841.10, 513.70, 2
0.69899, 0.00020, 14337.10, 529.20, 2
0.69949, 0.00025, 14177.10, 512.20, 2
0.69989, 0.00020, 13984.30, 543.20, 2
0.70029, 0.00020, 13968.50, 512.70, 2
0.70079, 0.00025, 13795.50, 435.70, 2
0.70119, 0.00020, 14759.60, 539.90, 2
0.70169, 0.00025, 13817.10, 552.10, 2
0.70209, 0.00020, 14393.40, 435.60, 2
0.70249, 0.00020, 15315.60, 480.50, 2
0.70299, 0.00025, 14910.60, 1071.30, 2
0.70339, 0.00020, 14393.70, 509.00, 2
0.70389, 0.00025, 14829.30, 533.00, 2
0.70429, 0.00020, 13852.30, 482.90, 2
0.70469, 0.00020, 14570.70, 476.00, 2
0.70519, 0.00025, 13888.10, 505.00, 2
0.70559, 0.00020, 14382.40, 578.20, 2
0.70599, 0.00020, 14210.50, 579.80, 2
0.70649, 0.00025, 14155.40, 496.10, 2
0.70689, 0.00020, 14369.30, 488.00, 2
0.70740, 0.00026, 14462.60, 508.80, 2
0.70780, 0.00020, 13590.60, 456.50, 2
0.70820, 0.00020, 14297.50, 467.60, 2
0.70870, 0.00025, 14275.50, 438.50, 2
0.70910, 0.00020, 13985.80, 488.10, 2
0.70960, 0.00025, 14596.30, 471.50, 2
0.71000, 0.00020, 15128.50, 499.20, 2
0.71050, 0.00025, 15075.90, 574.30, 2
0.71090, 0.00020, 14705.20, 559.50, 2
0.71130, 0.00020, 14339.80, 573.90, 2
0.71180, 0.00025, 14292.30, 435.60, 2
0.71220, 0.00020, 14550.30, 511.70, 2
0.71270, 0.00025, 14123.30, 513.50, 2
0.71310, 0.00020, 14493.90, 548.30, 2
0.71350, 0.00020, 14817.40, 559.10, 2
0.71400, 0.00025, 14387.20, 461.30, 2
0.71440, 0.00020, 14641.30, 467.30, 2
0.71490, 0.00025, 14392.80, 425.50, 2
0.71530, 0.00020, 14398.50, 523.70, 2
0.71570, 0.00020, 14915.80, 489.60, 2
0.71620, 0.00025, 14506.80, 471.40, 2
0.71660, 0.00020, 15258.40, 711.60, 2
0.71710, 0.00025, 14385.80, 470.00, 2
0.71750, 0.00020, 14008.80, 480.30, 2
0.71800, 0.00025, 14055.00, 464.30, 2
0.71840, 0.00020, 14926.80, 446.00, 2
0.71880, 0.00020, 15038.20, 508.50, 2
0.71930, 0.00025, 15110.50, 490.60, 2
0.71970, 0.00020, 14933.80, 617.00, 2
0.72020, 0.00025, 14393.70, 509.20, 2
0.72060, 0.00020, 14176.40, 502.20, 2
0.72110, 0.00025, 13953.90, 572.90, 2
0.72150, 0.00020, 14761.80, 587.60, 2
0.72190, 0.00020, 14415.80, 556.60, 2
0.72240, 0.00025, 14232.50, 460.00, 2
0.72280, 0.00020, 14316.10, 501.80, 2
0.72330, 0.00025, 14364.50, 476.50, 2
0.72370, 0.00020, 14545.90, 472.00, 2
0.72420, 0.00025, 14421.10, 440.50, 2
0.72460, 0.00020, 14233.20, 477.60, 2
0.72500, 0.00020, 14031.20, 558.50, 2
0.72550, 0.00025, 14374.30, 514.30, 2
0.72590, 0.00020, 13864.50, 467.30, 2
0.72640, 0.00025, 13670.80, 423.70, 2
0.72680, 0.00020, 14222.20, 565.00, 2
0.72730, 0.00025, 14255.10, 472.70, 2
0.72770, 0.00020, 14784.60, 521.00, 2
0.72820, 0.00025, 13917.60, 449.70, 2
0.72860, 0.00020, 14201.20, 458.00, 2
0.72900, 0.00020, 13572.70, 592.60, 2
0.72950, 0.00025, 14179.20, 430.90, 2
0.72990, 0.00020, 15233.80, 435.00, 2
0.73040, 0.00025, 14721.00, 558.10, 2
0.73080, 0.00020, 14922.30, 429.30, 2
0.73130, 0.00025, 13957.60, 464.70, 2
0.73170, 0.00020, 14761.60, 503.90, 2
0.73220, 0.00025, 13950.50, 421.70, 2
0.73260, 0.00020, 14703.00, 483.40, 2
0.73310, 0.00025, 14081.60, 532.50, 2
0.73350, 0.00020, 14853.90, 529.10, 2
0.73390, 0.00020, 14755.60, 493.50, 2
0.73440, 0.00025, 14536.40, 511.80, 2
0.73480, 0.00020, 14987.90, 517.40, 2
0.73530, 0.00025, 14819.20, 555.90, 2
0.73570, 0.00020, 14619.80, 436.10, 2
0.73620, 0.00025, 15400.50, 489.00, 2
0.73710, 0.00045, 14265.70, 479.60, 2
0.73750, 0.00020, 14104.60, 542.10, 2
0.73800, 0.00025, 14904.50, 550.80, 2
0.73840, 0.00020, 14499.50, 562.10, 2
0.73890, 0.00025, 14526.80, 532.70, 2
0.73930, 0.00020, 14763.20, 557.00, 2
0.73980, 0.00025, 13689.80, 632.20, 2
0.74020, 0.00020, 13552.40, 475.30, 2
0.74060, 0.00020, 14631.80, 552.30, 2
0.74110, 0.00025, 13960.90, 500.40, 2
0.74150, 0.00020, 14009.80, 506.70, 2
0.74200, 0.00025, 14425.40, 497.90, 2
0.74240, 0.00020, 13831.60, 487.20, 2
0.74290, 0.00025, 14884.10, 496.30, 2
0.74330, 0.00020, 14133.00, 500.40, 2
0.74380, 0.00025, 14648.90, 503.80, 2
0.74420, 0.00020, 14144.80, 507.00, 2
0.74471, 0.00026, 13561.00, 509.10, 2
0.74511, 0.00020, 14667.20, 502.90, 2
0.74561, 0.00025, 14251.60, 486.90, 2
0.74601, 0.00020, 14727.90, 539.10, 2
0.74651, 0.00025, 14521.10, 481.10, 2
0.74691, 0.00020, 14389.00, 497.10, 2
0.74741, 0.00025, 13893.40, 412.00, 2
0.74781, 0.00020, 14462.20, 547.70, 2
0.74831, 0.00025, 14196.80, 550.30, 2
0.74871, 0.00020, 14039.80, 570.60, 2
0.74921, 0.00025, 15020.60, 523.40, 2
0.74961, 0.00020, 14668.70, 548.30, 2
0.75011, 0.00025, 13894.90, 477.10, 2
0.75051, 0.00020, 14020.70, 566.10, 2
0.75101, 0.00025, 14027.90, 712.90, 2
0.75141, 0.00020, 13827.90, 459.40, 2
0.75191, 0.00025, 14213.70, 500.00, 2
0.75231, 0.00020, 14223.30, 493.50, 2
0.75281, 0.00025, 13685.80, 515.50, 2
0.75321, 0.00020, 13858.40, 432.60, 2
0.75371, 0.00025, 14508.90, 524.40, 2
0.75411, 0.00020, 14381.30, 626.20, 2
0.75461, 0.00025, 14583.40, 515.90, 2
0.75501, 0.00020, 14792.00, 512.20, 2
0.75551, 0.00025, 14255.60, 520.20, 2
0.75591, 0.00020, 13797.00, 495.10, 2
0.75641, 0.00025, 13971.80, 506.00, 2
0.75681, 0.00020, 14173.20, 587.00, 2
0.75731, 0.00025, 14231.30, 503.00, 2
0.75771, 0.00020, 14117.70, 535.60, 2
0.75821, 0.00025, 14767.00, 441.80, 2
0.75861, 0.00020, 14278.20, 536.50, 2
0.75911, 0.00025, 14754.50, 439.00, 2
0.75951, 0.00020, 13958.40, 472.50, 2
0.76001, 0.00025, 14127.10, 620.80, 2
0.76041, 0.00020, 14587.80, 756.50, 2
0.76091, 0.00025, 14425.80, 586.20, 2
0.76131, 0.00020, 14111.10, 493.80, 2
0.76181, 0.00025, 15047.90, 612.90, 2
0.76221, 0.00020, 14961.80, 489.40, 2
0.76271, 0.00025, 14177.20, 503.60, 2
0.76311, 0.00020, 13729.00, 574.80, 2
0.76361, 0.00025, 14847.10, 498.60, 2
0.76401, 0.00020, 14862.60, 556.60, 2
0.76451, 0.00025, 14062.20, 532.50, 2
0.76491, 0.00020, 13734.70, 497.50, 2
0.76541, 0.00025, 14837.30, 530.80, 2
0.76591, 0.00025, 14172.30, 529.80, 2
0.76631, 0.00020, 15021.50, 621.40, 2
0.76681, 0.00025, 14938.80, 627.80, 2
0.76771, 0.00045, 14738.90, 498.10, 2
0.76811, 0.00020, 14570.70, 534.90, 2
0.76861, 0.00025, 14887.60, 531.10, 2
0.76901, 0.00020, 14214.10, 521.80, 2
0.76951, 0.00025, 14095.20, 570.30, 2
0.76991, 0.00020, 14845.20, 496.80, 2
0.77041, 0.00025, 15050.20, 543.00, 2
0.77081, 0.00020, 14338.20, 580.70, 2
0.77131, 0.00025, 14710.30, 589.20, 2
0.77171, 0.00020, 14913.80, 491.00, 2
0.77221, 0.00025, 14847.00, 564.70, 2
0.77261, 0.00020, 15344.90, 527.70, 2
0.77311, 0.00025, 14962.20, 516.00, 2
0.77361, 0.00025, 14752.60, 572.80, 2
0.77401, 0.00020, 14159.20, 629.10, 2
0.77451, 0.00025, 14585.20, 609.40, 2
0.77491, 0.00020, 14025.00, 502.70, 2
0.77541, 0.00025, 14178.60, 563.40, 2
0.77581, 0.00020, 15649.00, 537.00, 2
0.77631, 0.00025, 14505.80, 613.30, 2
0.77671, 0.00020, 14457.90, 629.60, 2
